noise,lambda,rho,run,arch,acc,phi_js,A,C_js
0.0,0.0,0.4,14,modular,0.8375000357627869,0.0,0.7,0.0
0.0,0.0,0.4,15,integrated,0.8500000238418579,0.20713575184345245,0.7,0.14499502629041672
0.0,0.0,0.4,15,modular,0.7750000357627869,0.0,0.7,0.0
0.0,0.0,0.4,16,integrated,1.0,0.1721750944852829,0.7,0.12052256613969801
0.0,0.0,0.4,16,modular,0.8375000357627869,0.0,0.7,0.0
0.0,0.0,0.4,17,integrated,1.0,0.22761905193328857,0.7,0.159333336353302
0.0,0.0,0.4,17,modular,0.8500000238418579,0.0,0.7,0.0
0.0,0.0,0.4,18,integrated,1.0,0.2671518325805664,0.7,0.18700628280639647
0.0,0.0,0.4,18,modular,0.8125,0.0,0.7,0.0
0.0,0.0,0.4,19,integrated,0.875,0.10476870834827423,0.7,0.07333809584379196
0.0,0.0,0.4,19,modular,0.875,0.0,0.7,0.0
0.0,0.0,0.4,20,integrated,0.9125000238418579,0.17121922969818115,0.7,0.1198534607887268
0.0,0.0,0.4,20,modular,0.8375000357627869,0.0,0.7,0.0
0.0,0.0,0.4,21,integrated,0.9625000357627869,0.13534319400787354,0.7,0.09474023580551147
0.0,0.0,0.4,21,modular,0.800000011920929,0.0,0.7,0.0
0.0,0.0,0.4,22,integrated,0.9750000238418579,0.14343641698360443,0.7,0.1004054918885231
0.0,0.0,0.4,22,modular,0.7875000238418579,0.0,0.7,0.0
0.0,0.0,0.4,23,integrated,0.9375,0.08923790603876114,0.7,0.062466534227132796
0.0,0.0,0.4,23,modular,0.8375000357627869,0.0,0.7,0.0
0.0,0.0,0.4,24,integrated,0.9750000238418579,0.10523121803998947,0.7,0.07366185262799263
0.0,0.0,0.4,24,modular,0.699999988079071,0.0,0.7,0.0
0.0,0.0,0.4,25,integrated,0.9125000238418579,0.1649661511182785,0.7,0.11547630578279494
0.0,0.0,0.4,25,modular,0.8500000238418579,0.0,0.7,0.0
0.0,0.0,0.4,26,integrated,0.9125000238418579,0.2178453952074051,0.7,0.15249177664518354
0.0,0.0,0.4,26,modular,0.6625000238418579,0.0,0.7,0.0
0.0,0.0,0.4,27,integrated,0.875,0.1407194882631302,0.7,0.09850364178419113
0.0,0.0,0.4,27,modular,0.8500000238418579,0.0,0.7,0.0
0.0,0.0,0.4,28,integrated,0.949999988079071,0.17598526179790497,0.7,0.12318968325853347
0.0,0.0,0.4,28,modular,0.8125,0.0,0.7,0.0
0.0,0.0,0.4,29,integrated,0.949999988079071,0.18436290323734283,0.7,0.12905403226613998
0.0,0.0,0.4,29,modular,0.800000011920929,0.0,0.7,0.0
0.0,0.0,0.4,30,integrated,0.9625000357627869,0.15636497735977173,0.7,0.1094554841518402
0.0,0.0,0.4,30,modular,0.9000000357627869,0.0,0.7,0.0
0.0,0.0,0.4,31,integrated,0.862500011920929,0.1195213794708252,0.7,0.08366496562957763
0.0,0.0,0.4,31,modular,0.862500011920929,0.0,0.7,0.0
0.0,0.0,0.4,32,integrated,0.9750000238418579,0.11797057837247849,0.7,0.08257940486073494
0.0,0.0,0.4,32,modular,0.875,0.0,0.7,0.0
0.0,0.0,0.4,33,integrated,0.9625000357627869,0.16013038158416748,0.7,0.11209126710891723
0.0,0.0,0.4,33,modular,0.8125,0.0,0.7,0.0
0.0,0.0,0.4,34,integrated,0.987500011920929,0.30374738574028015,0.7,0.21262317001819608
0.0,0.0,0.4,34,modular,0.800000011920929,0.0,0.7,0.0
0.0,0.0,0.4,35,integrated,0.9625000357627869,0.09506066143512726,0.7,0.06654246300458908
0.0,0.0,0.4,35,modular,0.7750000357627869,0.0,0.7,0.0
0.0,0.0,0.4,36,integrated,0.9000000357627869,0.11813793331384659,0.7,0.08269655331969261
0.0,0.0,0.4,36,modular,0.824999988079071,0.0,0.7,0.0
0.0,0.0,0.4,37,integrated,0.925000011920929,0.12613840401172638,0.7,0.08829688280820847
0.0,0.0,0.4,37,modular,0.875,0.0,0.7,0.0
0.0,0.0,0.4,38,integrated,0.9750000238418579,0.14210788905620575,0.7,0.09947552233934402
0.0,0.0,0.4,38,modular,0.887499988079071,0.0,0.7,0.0
0.0,0.0,0.4,39,integrated,0.9000000357627869,0.09875037521123886,0.7,0.0691252626478672
0.0,0.0,0.4,39,modular,0.887499988079071,0.0,0.7,0.0
0.0,0.0,0.2,0,integrated,0.875,0.16038110852241516,0.6,0.09622866511344909
0.0,0.0,0.2,0,modular,0.762499988079071,0.0,0.6,0.0
0.0,0.0,0.2,1,integrated,0.987500011920929,0.08827897906303406,0.6,0.05296738743782043
0.0,0.0,0.2,1,modular,0.800000011920929,0.0,0.6,0.0
0.0,0.0,0.2,2,integrated,0.9375,0.21366427838802338,0.6,0.12819856703281401
0.0,0.0,0.2,2,modular,0.9125000238418579,0.0,0.6,0.0
