experiment_id,experiment,width_mult,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q1b-058,exp_Q1b_finite_size_scaling,1.0,0.8,0.38,7,0.7713,0.22870000000000001,0.7713,0.22870000000000001,-0.41577107814834363,621.7580149173737
Q1b-059,exp_Q1b_finite_size_scaling,1.0,0.8,0.38,8,0.7684,0.23160000000000003,0.7684,0.23160000000000003,-0.4196722626793676,625.6230952739716
Q1b-060,exp_Q1b_finite_size_scaling,1.0,0.8,0.38,9,0.7738,0.22619999999999996,0.7738,0.22619999999999996,-0.4193219857125267,617.432208776474
Q1b-061,exp_Q1b_finite_size_scaling,1.0,0.8,0.4,0,0.766,0.23399999999999999,0.766,0.23399999999999999,-0.4242504282587218,619.0771040916443
Q1b-062,exp_Q1b_finite_size_scaling,1.0,0.8,0.4,1,0.7405,0.25949999999999995,0.7405,0.25949999999999995,-0.4291791108159802,620.8076000213623
Q1b-063,exp_Q1b_finite_size_scaling,1.0,0.8,0.4,2,0.7622,0.2378,0.7622,0.2378,-0.4310547704497538,619.5148873329163
Q1b-064,exp_Q1b_finite_size_scaling,1.0,0.8,0.4,3,0.7484,0.25160000000000005,0.7484,0.25160000000000005,-0.4407925747619818,619.6935029029846
Q1b-065,exp_Q1b_finite_size_scaling,1.0,0.8,0.4,4,0.7646,0.23540000000000005,0.7646,0.23540000000000005,-0.4211720997841711,618.9479780197144
Q1b-066,exp_Q1b_finite_size_scaling,1.0,0.8,0.4,5,0.7768,0.22319999999999995,0.7777,0.22230000000000005,-0.44106330519696535,616.7681708335876
Q1b-067,exp_Q1b_finite_size_scaling,1.0,0.8,0.4,6,0.7613,0.23870000000000002,0.7613,0.23870000000000002,-0.4415214910302656,620.1414151191711
Q1b-068,exp_Q1b_finite_size_scaling,1.0,0.8,0.4,7,0.7611,0.2389,0.7611,0.2389,-0.44345368672486596,620.4358611106873
Q1b-069,exp_Q1b_finite_size_scaling,1.0,0.8,0.4,8,0.7375,0.26249999999999996,0.7375,0.26249999999999996,-0.4433183670156084,618.4055888652802
Q1b-070,exp_Q1b_finite_size_scaling,1.0,0.8,0.4,9,0.7376,0.26239999999999997,0.7376,0.26239999999999997,-0.43851042501257775,621.9294061660767
Q1b-071,exp_Q1b_finite_size_scaling,1.0,0.8,0.42,0,0.6389,0.3611,0.6389,0.3611,-0.36655303595960026,617.2325918674469
Q1b-072,exp_Q1b_finite_size_scaling,1.0,0.8,0.42,1,0.6479,0.35209999999999997,0.6479,0.35209999999999997,-0.3579764850703139,616.062164068222
Q1b-073,exp_Q1b_finite_size_scaling,1.0,0.8,0.42,2,0.696,0.30400000000000005,0.696,0.30400000000000005,-0.42449808764409225,616.480464220047
Q1b-074,exp_Q1b_finite_size_scaling,1.0,0.8,0.42,3,0.7398,0.2602,0.7398,0.2602,-0.4418562345469712,616.2028138637543
Q1b-075,exp_Q1b_finite_size_scaling,1.0,0.8,0.42,4,0.7137,0.2863,0.7137,0.2863,-0.45048501731255286,616.7799437046051
Q1b-076,exp_Q1b_finite_size_scaling,1.0,0.8,0.42,5,0.6648,0.33520000000000005,0.6648,0.33520000000000005,-0.3377501662058295,615.0609087944031
Q1b-077,exp_Q1b_finite_size_scaling,1.0,0.8,0.42,6,0.7018,0.2982,0.7018,0.2982,-0.3992727874642315,628.9262075424194
Q1b-078,exp_Q1b_finite_size_scaling,1.0,0.8,0.42,7,0.7575,0.24250000000000005,0.7575,0.24250000000000005,-0.4430824755512983,610.106917142868
Q1b-079,exp_Q1b_finite_size_scaling,1.0,0.8,0.42,8,0.6589,0.34109999999999996,0.6589,0.34109999999999996,-0.413791317659328,609.4842300415039
Q1b-080,exp_Q1b_finite_size_scaling,1.0,0.8,0.42,9,0.7377,0.2623,0.7377,0.2623,-0.43807156976609385,610.4792740345001
Q1b-081,exp_Q1b_finite_size_scaling,1.0,0.8,0.44,0,0.601,0.399,0.601,0.399,-0.348322026197542,609.1828470230103
Q1b-082,exp_Q1b_finite_size_scaling,1.0,0.8,0.44,1,0.6891,0.31089999999999995,0.6891,0.31089999999999995,-0.3959981681406973,609.392984867096
Q1b-083,exp_Q1b_finite_size_scaling,1.0,0.8,0.44,2,0.5626,0.4374,0.5626,0.4374,-0.29511405289331116,609.4864876270294
Q1b-084,exp_Q1b_finite_size_scaling,1.0,0.8,0.44,3,0.5911,0.40890000000000004,0.5911,0.40890000000000004,-0.3181925559655184,609.7857983112335
Q1b-085,exp_Q1b_finite_size_scaling,1.0,0.8,0.44,4,0.7091,0.29090000000000005,0.7091,0.29090000000000005,-0.43918186028666173,610.5454461574554
Q1b-086,exp_Q1b_finite_size_scaling,1.0,0.8,0.44,5,0.6729,0.32709999999999995,0.6729,0.32709999999999995,-0.3798826241756466,612.534502029419
Q1b-087,exp_Q1b_finite_size_scaling,1.0,0.8,0.44,6,0.6504,0.3496,0.6504,0.3496,-0.30562179002149403,609.3740997314453
Q1b-088,exp_Q1b_finite_size_scaling,1.0,0.8,0.44,7,0.6658,0.33420000000000005,0.6658,0.33420000000000005,-0.43119148509030486,610.1461217403412
Q1b-089,exp_Q1b_finite_size_scaling,1.0,0.8,0.44,8,0.6485,0.35150000000000003,0.6485,0.35150000000000003,-0.38818614261025297,611.3544931411743
Q1b-090,exp_Q1b_finite_size_scaling,1.0,0.8,0.44,9,0.5872,0.41279999999999994,0.5872,0.41279999999999994,-0.3112167121421745,611.0687975883484
Q1b-091,exp_Q1b_finite_size_scaling,1.0,0.8,0.46,0,0.5397,0.46030000000000004,0.5397,0.46030000000000004,-0.2346024510600932,609.6740353107452
Q1b-092,exp_Q1b_finite_size_scaling,1.0,0.8,0.46,1,0.5607,0.4393,0.5607,0.4393,-0.20388050338064503,610.6021828651428
Q1b-093,exp_Q1b_finite_size_scaling,1.0,0.8,0.46,2,0.5049,0.4951,0.5049,0.4951,-0.24584232656656987,610.618066072464
Q1b-094,exp_Q1b_finite_size_scaling,1.0,0.8,0.46,3,0.4162,0.5838,0.4162,0.5838,-0.25232191822473915,611.9963858127594
Q1b-095,exp_Q1b_finite_size_scaling,1.0,0.8,0.46,4,0.4677,0.5323,0.4677,0.5323,-0.30810755283663244,623.9391074180603
Q1b-096,exp_Q1b_finite_size_scaling,1.0,0.8,0.46,5,0.5971,0.40290000000000004,0.5971,0.40290000000000004,-0.3236142731095873,613.903477191925
Q1b-097,exp_Q1b_finite_size_scaling,1.0,0.8,0.46,6,0.5928,0.4072,0.5928,0.4072,-0.2850924275999376,610.8955402374268
Q1b-098,exp_Q1b_finite_size_scaling,1.0,0.8,0.46,7,0.5511,0.44889999999999997,0.5511,0.44889999999999997,-0.2487285340180601,609.0824189186096
Q1b-099,exp_Q1b_finite_size_scaling,1.0,0.8,0.46,8,0.5512,0.4488,0.5512,0.4488,-0.3261612649298776,610.6681461334229
Q1b-100,exp_Q1b_finite_size_scaling,1.0,0.8,0.46,9,0.4483,0.5517000000000001,0.4483,0.5517000000000001,-0.2857766238672538,610.7589502334595
