experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,avg_cos
R2a-006,0.8,fast,5,11,up,0.4,0.6827,-0.4063063862315398
R2a-006,0.8,fast,5,12,up,0.41,0.6417999999999999,-0.3357499479933889
R2a-006,0.8,fast,5,13,up,0.42,0.6464,-0.39799753116082626
R2a-006,0.8,fast,5,14,up,0.43,0.7021,-0.30417382077561045
R2a-006,0.8,fast,5,15,up,0.44,0.7536,-0.2741741890905007
R2a-006,0.8,fast,5,16,up,0.45,0.6584,-0.2914502878426289
R2a-006,0.8,fast,5,17,up,0.46,0.6659999999999999,-0.3437707791656104
R2a-006,0.8,fast,5,18,up,0.47,0.7108,-0.3733268034245287
R2a-006,0.8,fast,5,19,up,0.48,0.7492,-0.2716264736420494
R2a-006,0.8,fast,5,20,up,0.49,0.7121,-0.31301867136047506
R2a-006,0.8,fast,5,21,up,0.5,0.7108,-0.35876779783783214
R2a-006,0.8,fast,5,22,up,0.51,0.6799,-0.21219306990352213
R2a-006,0.8,fast,5,23,up,0.52,0.737,-0.2019695008211598
R2a-006,0.8,fast,5,24,up,0.53,0.8011,-0.2681723415747057
R2a-006,0.8,fast,5,25,up,0.54,0.7041999999999999,-0.19200006972200104
R2a-006,0.8,fast,5,26,up,0.56,0.7712,-0.09314834577392558
R2a-006,0.8,fast,5,27,up,0.58,0.838,-0.0882654649310042
R2a-006,0.8,fast,5,28,up,0.6,0.7905,-0.004147128845869126
R2a-006,0.8,fast,5,29,up,0.62,0.8186,0.05456314309457393
R2a-006,0.8,fast,5,30,up,0.64,0.9,0.005935852028600567
R2a-006,0.8,fast,5,31,down,0.63,0.8674,0.16861399364828758
R2a-006,0.8,fast,5,32,down,0.61,0.8964,0.1711132549621374
R2a-006,0.8,fast,5,33,down,0.59,0.9,0.14112845252087453
R2a-006,0.8,fast,5,34,down,0.57,0.9,0.062163925230769176
R2a-006,0.8,fast,5,35,down,0.55,0.8487,0.13701973719598384
R2a-006,0.8,fast,5,36,down,0.53,0.9,0.15913358437163488
R2a-006,0.8,fast,5,37,down,0.52,0.9,0.294321862838174
R2a-006,0.8,fast,5,38,down,0.51,0.9,0.22717562169596858
R2a-006,0.8,fast,5,39,down,0.5,0.9,0.27011637746983647
R2a-006,0.8,fast,5,40,down,0.49,0.9,0.23358176862440852
R2a-006,0.8,fast,5,41,down,0.48,0.9,0.2129521050623485
R2a-006,0.8,fast,5,42,down,0.47,0.9,0.25253879339719304
R2a-006,0.8,fast,5,43,down,0.46,0.9,0.18868605741204655
R2a-006,0.8,fast,5,44,down,0.45,0.9,0.22611184273751414
R2a-006,0.8,fast,5,45,down,0.44,0.9,0.21499807072081129
R2a-006,0.8,fast,5,46,down,0.43,0.9,0.1429460811599785
R2a-006,0.8,fast,5,47,down,0.42,0.9,0.1254538509006403
R2a-006,0.8,fast,5,48,down,0.41,0.9,0.16347833916696966
R2a-006,0.8,fast,5,49,down,0.4,0.9,0.1286148222600471
R2a-006,0.8,fast,5,50,down,0.39,0.9,0.07622528049562659
R2a-006,0.8,fast,5,51,down,0.38,0.9,0.03743109328444211
R2a-006,0.8,fast,5,52,down,0.36,0.9,0.04081611990054347
R2a-006,0.8,fast,5,53,down,0.34,0.9,0.017572783161791002
R2a-006,0.8,fast,5,54,down,0.32,0.9,0.03290107125910569
R2a-006,0.8,fast,5,55,down,0.3,0.9,0.012949364649474012
R2a-006,0.8,fast,5,56,down,0.28,0.9,0.018321077624449924
R2a-006,0.8,fast,5,57,down,0.26,0.9,0.02207562961254497
R2a-006,0.8,fast,5,58,down,0.24,0.9,0.036994057460402956
R2a-006,0.8,fast,5,59,down,0.22,0.9,0.008478130061863636
R2a-007,0.8,fast,6,0,up,0.2,0.8823,-0.14976237198261885
R2a-007,0.8,fast,6,1,up,0.22,0.7861,-0.15091865603831045
R2a-007,0.8,fast,6,2,up,0.24,0.7433000000000001,-0.20476485925669574
R2a-007,0.8,fast,6,3,up,0.26,0.7582,-0.2263827115625181
R2a-007,0.8,fast,6,4,up,0.28,0.7129,-0.29193472450275965
R2a-007,0.8,fast,6,5,up,0.3,0.7139,-0.3357329070187953
R2a-007,0.8,fast,6,6,up,0.32,0.6848000000000001,-0.33318316963102135
