experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,test_acc,avg_cos
R1a-004,0.4,fast,3,25,up,0.56,0.37229999999999996,0.6277,-0.015227643036454613
R1a-004,0.4,fast,3,26,up,0.57,0.3769,0.6231,-0.030189024351005043
R1a-004,0.4,fast,3,27,up,0.58,0.4938,0.5062,-0.019761580821810936
R1a-004,0.4,fast,3,28,up,0.6,0.48819999999999997,0.5118,0.007577957962021916
R1a-004,0.4,fast,3,29,up,0.62,0.4676,0.5324,0.02791753946565928
R1a-004,0.4,fast,3,30,up,0.64,0.48019999999999996,0.5198,0.035966507532177686
R1a-004,0.4,fast,3,31,down,0.63,0.5367999999999999,0.4632,0.008051874923842902
R1a-004,0.4,fast,3,32,down,0.61,0.5611999999999999,0.4388,0.025453608005535693
R1a-004,0.4,fast,3,33,down,0.59,0.30920000000000003,0.6908,0.011400438408006211
R1a-004,0.4,fast,3,34,down,0.57,0.38180000000000003,0.6182,-0.04703195604563415
R1a-004,0.4,fast,3,35,down,0.56,0.45499999999999996,0.545,-0.03186338216812369
R1a-004,0.4,fast,3,36,down,0.55,0.45620000000000005,0.5438,-0.041790615299203415
R1a-004,0.4,fast,3,37,down,0.54,0.3546,0.6454,-0.04042991955660055
R1a-004,0.4,fast,3,38,down,0.53,0.3183,0.6817,-0.03446392195147215
R1a-004,0.4,fast,3,39,down,0.52,0.3356,0.6644,-0.07186516395969582
R1a-004,0.4,fast,3,40,down,0.51,0.3719,0.6281,-0.08970778288880402
R1a-004,0.4,fast,3,41,down,0.5,0.33909999999999996,0.6609,-0.0909789327855165
R1a-004,0.4,fast,3,42,down,0.49,0.3994,0.6006,-0.09842421797256233
R1a-004,0.4,fast,3,43,down,0.48,0.36450000000000005,0.6355,-0.10301625854050626
R1a-004,0.4,fast,3,44,down,0.47,0.3074,0.6926,-0.0923507157214252
R1a-004,0.4,fast,3,45,down,0.46,0.27549999999999997,0.7245,-0.10861701822402525
R1a-004,0.4,fast,3,46,down,0.45,0.3096,0.6904,-0.12518095385226213
R1a-004,0.4,fast,3,47,down,0.44,0.3214,0.6786,-0.13678589305479308
R1a-004,0.4,fast,3,48,down,0.43,0.32389999999999997,0.6761,-0.12962191685207416
R1a-004,0.4,fast,3,49,down,0.42,0.26749999999999996,0.7325,-0.12448566129469142
R1a-004,0.4,fast,3,50,down,0.4,0.17500000000000004,0.825,-0.21730172633174427
R1a-004,0.4,fast,3,51,down,0.38,0.16879999999999995,0.8312,-0.23639073017604498
R1a-004,0.4,fast,3,52,down,0.36,0.15669999999999995,0.8433,-0.2129920462421997
R1a-004,0.4,fast,3,53,down,0.34,0.15500000000000003,0.845,-0.21386774790910434
R1a-004,0.4,fast,3,54,down,0.32,0.15090000000000003,0.8491,-0.17600976143564498
R1a-004,0.4,fast,3,55,down,0.3,0.14870000000000005,0.8513,-0.17179288696117548
R1a-004,0.4,fast,3,56,down,0.28,0.14459999999999995,0.8554,-0.14581999385121222
R1a-004,0.4,fast,3,57,down,0.26,0.14100000000000001,0.859,-0.13981256763835684
R1a-004,0.4,fast,3,58,down,0.24,0.1422,0.8578,-0.12083842026007989
R1a-004,0.4,fast,3,59,down,0.22,0.13949999999999996,0.8605,-0.11347662755620799
R1a-005,0.4,fast,4,0,up,0.2,0.6792,0.3208,-0.13356473634247573
R1a-005,0.4,fast,4,1,up,0.22,0.6205,0.3795,-0.13254748060776644
R1a-005,0.4,fast,4,2,up,0.24,0.4958,0.5042,-0.1712386384962735
R1a-005,0.4,fast,4,3,up,0.26,0.4851,0.5149,-0.21215854880723115
R1a-005,0.4,fast,4,4,up,0.28,0.4403,0.5597,-0.1896299702799594
R1a-005,0.4,fast,4,5,up,0.3,0.4766,0.5234,-0.20559554905107968
R1a-005,0.4,fast,4,6,up,0.32,0.5820000000000001,0.418,-0.19957193183208988
R1a-005,0.4,fast,4,7,up,0.34,0.4528,0.5472,-0.23627520829667242
R1a-005,0.4,fast,4,8,up,0.36,0.42589999999999995,0.5741,-0.24342302571297908
R1a-005,0.4,fast,4,9,up,0.38,0.4135,0.5865,-0.24811967725304848
R1a-005,0.4,fast,4,10,up,0.4,0.46009999999999995,0.5399,-0.19677315329496123
R1a-005,0.4,fast,4,11,up,0.42,0.5059,0.4941,-0.18946385077599967
R1a-005,0.4,fast,4,12,up,0.43,0.42190000000000005,0.5781,-0.1597822418208329
R1a-005,0.4,fast,4,13,up,0.44,0.515,0.485,-0.1278619647562998
R1a-005,0.4,fast,4,14,up,0.45,0.4092,0.5908,-0.12167675242811556
R1a-005,0.4,fast,4,15,up,0.46,0.512,0.488,-0.13102234820407643
R1a-005,0.4,fast,4,16,up,0.47,0.43899999999999995,0.561,-0.08178628132588286
R1a-005,0.4,fast,4,17,up,0.48,0.3971,0.6029,-0.09317311574704945
R1a-005,0.4,fast,4,18,up,0.49,0.44399999999999995,0.556,-0.07736166267731816
R1a-005,0.4,fast,4,19,up,0.5,0.5371,0.4629,-0.059790533751116266
R1a-005,0.4,fast,4,20,up,0.51,0.5510999999999999,0.4489,-0.07297353786939033
R1a-005,0.4,fast,4,21,up,0.52,0.4788,0.5212,-0.06478243501030137
R1a-005,0.4,fast,4,22,up,0.53,0.4132,0.5868,-0.06850259157363325
R1a-005,0.4,fast,4,23,up,0.54,0.4668,0.5332,-0.04128934360555924
R1a-005,0.4,fast,4,24,up,0.55,0.5056,0.4944,-0.03034813346683371
R1a-005,0.4,fast,4,25,up,0.56,0.43500000000000005,0.565,-0.020666904992195874
R1a-005,0.4,fast,4,26,up,0.57,0.35350000000000004,0.6465,0.004162618841700332
R1a-005,0.4,fast,4,27,up,0.58,0.6507000000000001,0.3493,-0.03564781982722521
R1a-005,0.4,fast,4,28,up,0.6,0.5283,0.4717,-0.0025497919200368376
R1a-005,0.4,fast,4,29,up,0.62,0.39980000000000004,0.6002,0.03879093877229916
R1a-005,0.4,fast,4,30,up,0.64,0.44989999999999997,0.5501,0.02363918354848818
R1a-005,0.4,fast,4,31,down,0.63,0.5948,0.4052,0.0058084885893883755
R1a-005,0.4,fast,4,32,down,0.61,0.4433,0.5567,0.015887442262301564
R1a-005,0.4,fast,4,33,down,0.59,0.34109999999999996,0.6589,-0.00021046538343082885
R1a-005,0.4,fast,4,34,down,0.57,0.37749999999999995,0.6225,-0.0576114734178599
R1a-005,0.4,fast,4,35,down,0.56,0.3873,0.6127,-0.04484986455645412
R1a-005,0.4,fast,4,36,down,0.55,0.4931,0.5069,-0.082325781517358
R1a-005,0.4,fast,4,37,down,0.54,0.3026,0.6974,-0.06188317620770398
R1a-005,0.4,fast,4,38,down,0.53,0.3073,0.6927,-0.085553244872931
R1a-005,0.4,fast,4,39,down,0.52,0.40090000000000003,0.5991,-0.09833909256493065
R1a-005,0.4,fast,4,40,down,0.51,0.3529,0.6471,-0.1043440206594081
R1a-005,0.4,fast,4,41,down,0.5,0.31579999999999997,0.6842,-0.06395806149788658
R1a-005,0.4,fast,4,42,down,0.49,0.3255,0.6745,-0.08792431835721874
R1a-005,0.4,fast,4,43,down,0.48,0.37870000000000004,0.6213,-0.1359826797365249
R1a-005,0.4,fast,4,44,down,0.47,0.33819999999999995,0.6618,-0.10924580771171925
R1a-005,0.4,fast,4,45,down,0.46,0.25439999999999996,0.7456,-0.1220378235269965
R1a-005,0.4,fast,4,46,down,0.45,0.31120000000000003,0.6888,-0.10982998275454631
R1a-005,0.4,fast,4,47,down,0.44,0.31000000000000005,0.69,-0.13209776927441436
R1a-005,0.4,fast,4,48,down,0.43,0.4494,0.5506,-0.13436463890639988
R1a-005,0.4,fast,4,49,down,0.42,0.28459999999999996,0.7154,-0.12187191505194167
R1a-005,0.4,fast,4,50,down,0.4,0.1805,0.8195,-0.21468017367665104
R1a-005,0.4,fast,4,51,down,0.38,0.16920000000000002,0.8308,-0.22486702831728117
R1a-005,0.4,fast,4,52,down,0.36,0.15969999999999995,0.8403,-0.22220374712226343
R1a-005,0.4,fast,4,53,down,0.34,0.1602,0.8398,-0.19667766163391726
R1a-005,0.4,fast,4,54,down,0.32,0.15590000000000004,0.8441,-0.19150414444358868
R1a-005,0.4,fast,4,55,down,0.3,0.1502,0.8498,-0.17231479569632865
R1a-005,0.4,fast,4,56,down,0.28,0.1493,0.8507,-0.15213695309143893
R1a-005,0.4,fast,4,57,down,0.26,0.14649999999999996,0.8535,-0.1405250029448344
R1a-005,0.4,fast,4,58,down,0.24,0.1441,0.8559,-0.12505120982247292
R1a-005,0.4,fast,4,59,down,0.22,0.14100000000000001,0.859,-0.10577251367468139
R1a-006,0.4,fast,5,0,up,0.2,0.6604,0.3396,-0.13391741283466013
R1a-006,0.4,fast,5,1,up,0.22,0.5489999999999999,0.451,-0.15100742198351047
R1a-006,0.4,fast,5,2,up,0.24,0.5931,0.4069,-0.183053003632397
R1a-006,0.4,fast,5,3,up,0.26,0.4807,0.5193,-0.17703650008687483
R1a-006,0.4,fast,5,4,up,0.28,0.43989999999999996,0.5601,-0.19186851325235804
R1a-006,0.4,fast,5,5,up,0.3,0.4132,0.5868,-0.2190184592404783
