experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,test_acc,avg_cos
R1b-004,0.4,slow,3,52,down,0.36,0.10160000000000002,0.8984,-0.07587954587284096
R1b-004,0.4,slow,3,53,down,0.34,0.10299999999999998,0.897,-0.08358357392004406
R1b-004,0.4,slow,3,54,down,0.32,0.10340000000000005,0.8966,-0.08164531824996277
R1b-004,0.4,slow,3,55,down,0.3,0.1068,0.8932,-0.07569305399285477
R1b-004,0.4,slow,3,56,down,0.28,0.10840000000000005,0.8916,-0.06666044285728796
R1b-004,0.4,slow,3,57,down,0.26,0.11150000000000004,0.8885,-0.06604239878147289
R1b-004,0.4,slow,3,58,down,0.24,0.11560000000000004,0.8844,-0.060082487590915085
R1b-004,0.4,slow,3,59,down,0.22,0.11619999999999997,0.8838,-0.058075423901680884
R1b-005,0.4,slow,4,0,up,0.2,0.42290000000000005,0.5771,-0.13333540732202556
R1b-005,0.4,slow,4,1,up,0.22,0.4165,0.5835,-0.11952749651747432
R1b-005,0.4,slow,4,2,up,0.24,0.2563,0.7437,-0.0854969853273954
R1b-005,0.4,slow,4,3,up,0.26,0.2724,0.7276,-0.10392984947455781
R1b-005,0.4,slow,4,4,up,0.28,0.24070000000000003,0.7593,-0.08365834992597526
R1b-005,0.4,slow,4,5,up,0.3,0.29500000000000004,0.705,-0.09953812919604611
R1b-005,0.4,slow,4,6,up,0.32,0.31479999999999997,0.6852,-0.10968500472918837
R1b-005,0.4,slow,4,7,up,0.34,0.32289999999999996,0.6771,-0.10772548331308882
R1b-005,0.4,slow,4,8,up,0.36,0.28359999999999996,0.7164,-0.1094093614528716
R1b-005,0.4,slow,4,9,up,0.38,0.3084,0.6916,-0.09580580097960537
R1b-005,0.4,slow,4,10,up,0.4,0.12919999999999998,0.8708,-0.1802099973096379
R1b-005,0.4,slow,4,11,up,0.42,0.12019999999999997,0.8798,-0.16323647223774115
R1b-005,0.4,slow,4,12,up,0.43,0.12009999999999998,0.8799,-0.13267150963656604
R1b-005,0.4,slow,4,13,up,0.44,0.11699999999999999,0.883,-0.1281615662369497
R1b-005,0.4,slow,4,14,up,0.45,0.11170000000000002,0.8883,-0.11317240229180577
R1b-005,0.4,slow,4,15,up,0.46,0.10340000000000005,0.8966,-0.12908561132392105
R1b-005,0.4,slow,4,16,up,0.47,0.10019999999999996,0.8998,-0.1337753796061425
R1b-005,0.4,slow,4,17,up,0.48,0.0998,0.9002,-0.13193992364733498
R1b-005,0.4,slow,4,18,up,0.49,0.09830000000000005,0.9017,-0.12214589346086188
R1b-005,0.4,slow,4,19,up,0.5,0.09750000000000003,0.9025,-0.11718152380282325
R1b-005,0.4,slow,4,20,up,0.51,0.09699999999999998,0.903,-0.10631993407269522
R1b-005,0.4,slow,4,21,up,0.52,0.09570000000000001,0.9043,-0.11938917742833038
R1b-005,0.4,slow,4,22,up,0.53,0.09570000000000001,0.9043,-0.10498148205271941
R1b-005,0.4,slow,4,23,up,0.54,0.09560000000000002,0.9044,-0.11143910610212052
R1b-005,0.4,slow,4,24,up,0.55,0.09609999999999996,0.9039,-0.09584741523532121
R1b-005,0.4,slow,4,25,up,0.56,0.09719999999999995,0.9028,-0.09329347819926179
R1b-005,0.4,slow,4,26,up,0.57,0.09709999999999996,0.9029,-0.0948161920817683
R1b-005,0.4,slow,4,27,up,0.58,0.09709999999999996,0.9029,-0.08866886110567697
R1b-005,0.4,slow,4,28,up,0.6,0.09670000000000001,0.9033,-0.08057615995331079
R1b-005,0.4,slow,4,29,up,0.62,0.09550000000000003,0.9045,-0.08302908991368449
R1b-005,0.4,slow,4,30,up,0.64,0.09609999999999996,0.9039,-0.07712392642029695
R1b-005,0.4,slow,4,31,down,0.63,0.09560000000000002,0.9044,-0.07250371697116453
R1b-005,0.4,slow,4,32,down,0.61,0.09530000000000005,0.9047,-0.07869966955361318
R1b-005,0.4,slow,4,33,down,0.59,0.09489999999999998,0.9051,-0.08194509153824528
R1b-005,0.4,slow,4,34,down,0.57,0.09360000000000002,0.9064,-0.08131484439292429
R1b-005,0.4,slow,4,35,down,0.56,0.0938,0.9062,-0.08561827190106316
R1b-005,0.4,slow,4,36,down,0.55,0.09660000000000002,0.9034,-0.08261407799816843
R1b-005,0.4,slow,4,37,down,0.54,0.09399999999999997,0.906,-0.07892270633304606
R1b-005,0.4,slow,4,38,down,0.53,0.09719999999999995,0.9028,-0.08895896824209817
R1b-005,0.4,slow,4,39,down,0.52,0.09630000000000005,0.9037,-0.07907974995121513
R1b-005,0.4,slow,4,40,down,0.51,0.09440000000000004,0.9056,-0.08348947542253882
R1b-005,0.4,slow,4,41,down,0.5,0.0947,0.9053,-0.08199015361071584
R1b-005,0.4,slow,4,42,down,0.49,0.09560000000000002,0.9044,-0.0800393077221756
R1b-005,0.4,slow,4,43,down,0.48,0.09599999999999997,0.904,-0.0839292355961575
R1b-005,0.4,slow,4,44,down,0.47,0.09719999999999995,0.9028,-0.08560596245379017
R1b-005,0.4,slow,4,45,down,0.46,0.09870000000000001,0.9013,-0.08187154694151476
R1b-005,0.4,slow,4,46,down,0.45,0.09689999999999999,0.9031,-0.07967696159517354
R1b-005,0.4,slow,4,47,down,0.44,0.09730000000000005,0.9027,-0.08372623420187406
R1b-005,0.4,slow,4,48,down,0.43,0.09909999999999997,0.9009,-0.08118401548815701
R1b-005,0.4,slow,4,49,down,0.42,0.09989999999999999,0.9001,-0.07840189330365356
R1b-005,0.4,slow,4,50,down,0.4,0.10189999999999999,0.8981,-0.07650228749428477
R1b-005,0.4,slow,4,51,down,0.38,0.0998,0.9002,-0.07588934705459646
R1b-005,0.4,slow,4,52,down,0.36,0.1028,0.8972,-0.07508893224543758
R1b-005,0.4,slow,4,53,down,0.34,0.10329999999999995,0.8967,-0.07174819943403625
R1b-005,0.4,slow,4,54,down,0.32,0.10599999999999998,0.894,-0.07501631818993293
R1b-005,0.4,slow,4,55,down,0.3,0.10750000000000004,0.8925,-0.07057691647965765
R1b-005,0.4,slow,4,56,down,0.28,0.11129999999999995,0.8887,-0.0628841095342662
R1b-005,0.4,slow,4,57,down,0.26,0.11329999999999996,0.8867,-0.06516367652838366
